                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.59063,                0.46533,                 1.1281,                0.84433,                0.76543,                0.85791,                 0.6855,                0.79439,                0.82608,                 1.2445,              8.416e-05,              8.416e-05,              8.416e-05
                     34,                0.60441,                0.45826,                 1.1317,                0.82103,                0.79235,                 0.8631,                0.68949,                0.79746,                0.80033,                 1.2466,             8.3665e-05,             8.3665e-05,             8.3665e-05
                     35,                0.57483,                0.42752,                 1.1064,                0.88328,                0.74097,                0.84875,                0.67768,                0.81343,                0.85176,                 1.2595,              8.317e-05,              8.317e-05,              8.317e-05
                     36,                0.59968,                0.45847,                 1.1182,                0.88431,                0.73729,                   0.86,                0.68798,                0.80437,                0.81572,                 1.2363,             8.2675e-05,             8.2675e-05,             8.2675e-05
                     37,                0.58802,                   0.44,                 1.1208,                0.88065,                0.73617,                0.86045,                 0.6864,                0.80058,                0.79995,                 1.2344,              8.218e-05,              8.218e-05,              8.218e-05
                     38,                0.58209,                0.43984,                 1.1096,                0.82701,                0.78562,                0.86507,                0.69385,                0.79326,                0.78762,                 1.2235,             8.1685e-05,             8.1685e-05,             8.1685e-05
                     39,                0.58902,                0.43222,                 1.1034,                0.88721,                0.73923,                0.86013,                0.68337,                 0.7931,                0.78973,                 1.2305,              8.119e-05,              8.119e-05,              8.119e-05
                     40,                0.57499,                0.42908,                 1.1204,                 0.8444,                0.77801,                0.86474,                 0.6907,                 0.7847,                0.76944,                 1.2179,             8.0695e-05,             8.0695e-05,             8.0695e-05
                     41,                0.58622,                 0.4207,                 1.1195,                0.88944,                0.74822,                   0.86,                0.68908,                0.78813,                0.77588,                 1.2157,               8.02e-05,               8.02e-05,               8.02e-05
                     42,                0.56061,                0.42534,                  1.105,                0.87307,                0.75522,                0.85649,                0.68189,                 0.8001,                0.79484,                 1.2367,             7.9705e-05,             7.9705e-05,             7.9705e-05
                     43,                0.56479,                 0.4247,                 1.1102,                0.83638,                 0.7857,                0.86313,                0.69211,                0.78969,                0.77893,                  1.222,              7.921e-05,              7.921e-05,              7.921e-05
                     44,                0.57048,                0.40207,                 1.1062,                0.84179,                0.77404,                0.86529,                0.69783,                0.79484,                0.77875,                  1.223,             7.8715e-05,             7.8715e-05,             7.8715e-05
                     45,                0.58534,                0.42548,                 1.1116,                0.84292,                0.78295,                0.86081,                0.69098,                0.79445,                0.79073,                 1.2241,              7.822e-05,              7.822e-05,              7.822e-05
                     46,                0.57182,                0.41109,                 1.0828,                0.84026,                0.79025,                0.86479,                0.69328,                  0.793,                0.78126,                   1.23,             7.7725e-05,             7.7725e-05,             7.7725e-05
                     47,                0.55833,                0.39988,                  1.098,                0.91195,                0.73067,                 0.8665,                0.69672,                0.78955,                 0.7805,                 1.2206,              7.723e-05,              7.723e-05,              7.723e-05
                     48,                0.55304,                0.40795,                 1.0945,                0.88089,                0.76338,                0.86329,                0.69174,                0.79273,                0.78905,                 1.2315,             7.6735e-05,             7.6735e-05,             7.6735e-05
                     49,                0.57121,                0.41163,                 1.1023,                 0.8539,                0.78139,                0.86363,                0.69548,                0.80169,                0.76866,                 1.2326,              7.624e-05,              7.624e-05,              7.624e-05
                     50,                0.56533,                0.40697,                 1.0969,                0.86831,                0.76421,                0.86064,                0.69918,                0.78129,                0.78024,                 1.2044,             7.5745e-05,             7.5745e-05,             7.5745e-05
                     51,                0.56177,                0.39225,                 1.0807,                0.84869,                0.77229,                0.85737,                0.68809,                0.77975,                0.78143,                 1.2129,              7.525e-05,              7.525e-05,              7.525e-05
                     52,                 0.5558,                0.40328,                  1.086,                0.86645,                0.76558,                0.85664,                0.68729,                0.78871,                0.78516,                 1.2148,             7.4755e-05,             7.4755e-05,             7.4755e-05
                     53,                0.54298,                0.39889,                 1.0928,                0.84615,                 0.7793,                0.86259,                0.69713,                  0.784,                0.77005,                 1.2103,              7.426e-05,              7.426e-05,              7.426e-05
                     54,                0.55388,                0.39045,                 1.0863,                0.82637,                0.78856,                 0.8633,                0.69847,                0.78909,                0.77406,                 1.2158,             7.3765e-05,             7.3765e-05,             7.3765e-05
                     55,                0.54048,                0.38732,                 1.0904,                0.89823,                0.73923,                0.86318,                0.69546,                0.78929,                0.77793,                 1.2182,              7.327e-05,              7.327e-05,              7.327e-05
                     56,                0.54792,                0.38021,                 1.0954,                0.85332,                0.77499,                0.86449,                0.70314,                0.78101,                0.77516,                 1.2115,             7.2775e-05,             7.2775e-05,             7.2775e-05
                     57,                 0.5569,                0.39991,                 1.0927,                0.85776,                0.77343,                0.86695,                0.70689,                0.77498,                0.76921,                 1.2005,              7.228e-05,              7.228e-05,              7.228e-05
                     58,                0.55515,                0.40218,                 1.0941,                0.84038,                0.77551,                0.86313,                0.70061,                0.77405,                0.78318,                 1.2028,             7.1785e-05,             7.1785e-05,             7.1785e-05
                     59,                 0.5483,                0.39441,                 1.0815,                0.87703,                0.74998,                0.86458,                0.70207,                0.77283,                0.77585,                 1.1929,              7.129e-05,              7.129e-05,              7.129e-05
                     60,                0.56476,                0.39014,                 1.0821,                0.89228,                 0.7535,                0.86463,                 0.7006,                0.76637,                0.76605,                  1.191,             7.0795e-05,             7.0795e-05,             7.0795e-05
                     61,                0.56542,                0.39687,                 1.0941,                0.89733,                0.74784,                  0.863,                0.70139,                0.76361,                0.76871,                 1.1908,               7.03e-05,               7.03e-05,               7.03e-05
                     62,                0.53924,                0.38948,                 1.0857,                0.88461,                0.75217,                 0.8594,                0.69498,                0.77143,                0.77091,                 1.1893,             6.9805e-05,             6.9805e-05,             6.9805e-05
                     63,                0.55681,                0.38416,                 1.0805,                0.83503,                0.79218,                0.86411,                 0.7039,                0.75809,                 0.7622,                 1.1766,              6.931e-05,              6.931e-05,              6.931e-05
                     64,                0.55516,                0.39646,                 1.0871,                0.89602,                0.75541,                0.85906,                0.70027,                0.76837,                0.77869,                 1.1944,             6.8815e-05,             6.8815e-05,             6.8815e-05
                     65,                0.54889,                0.37926,                 1.0956,                0.88685,                0.75492,                0.86305,                0.70363,                0.76999,                 0.7694,                 1.1885,              6.832e-05,              6.832e-05,              6.832e-05
