                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39418,                 0.5258,                0.40714,                0.93164,                0.97612,                0.96378,                0.98308,                0.94652,                0.97612,                0.96378,                0.98308,                0.93277,                0.29842,                0.46492,                0.32516,                0.81034,               0.007624,               0.007624,               0.007624
                     26,                0.39664,                0.53085,                0.41762,                0.94131,                0.97193,                0.96974,                0.98609,                0.95413,                0.97193,                0.96974,                0.98609,                0.93528,                0.27392,                0.45792,                0.29139,                0.79311,               0.007525,               0.007525,               0.007525
                     27,                0.40014,                0.53788,                0.39164,                0.94087,                0.98282,                0.95829,                0.98348,                0.96008,                0.98282,                0.95829,                0.98348,                0.94648,                 0.2607,                0.41197,                0.29689,                0.78651,               0.007426,               0.007426,               0.007426
                     28,                0.40393,                 0.5323,                0.41091,                0.93058,                 0.9759,                0.97144,                  0.985,                0.95892,                 0.9759,                0.97144,                  0.985,                0.94013,                0.27913,                0.43791,                0.30274,                0.80299,               0.007327,               0.007327,               0.007327
                     29,                0.39324,                0.52344,                0.38787,                0.92142,                0.95854,                0.97898,                0.98502,                0.95319,                0.95854,                0.97898,                0.98502,                0.93834,                0.28149,                0.43843,                0.29191,                0.81653,               0.007228,               0.007228,               0.007228
                     30,                0.39735,                0.55087,                0.38153,                0.93402,                0.95527,                0.98007,                0.98659,                0.95782,                0.95527,                0.98007,                0.98659,                0.94805,                0.26306,                0.40792,                0.28998,                0.79442,               0.007129,               0.007129,               0.007129
                     31,                0.38484,                0.52465,                 0.3912,                  0.921,                0.98134,                0.96616,                0.98545,                0.95119,                0.98134,                0.96616,                0.98545,                0.94827,                0.27582,                0.43724,                0.28167,                0.80711,                0.00703,                0.00703,                0.00703
                     32,                0.37712,                0.50895,                0.36638,                0.92608,                0.96853,                0.97016,                0.98378,                0.95062,                0.96853,                0.97016,                0.98378,                0.94531,                 0.2743,                0.42454,                0.28281,                0.80103,               0.006931,               0.006931,               0.006931
                     33,                0.38216,                0.48992,                0.36169,                0.91933,                0.97811,                0.97608,                0.98595,                0.95912,                0.97811,                0.97608,                0.98595,                0.94977,                 0.2509,                0.41306,                0.25776,                 0.7856,               0.006832,               0.006832,               0.006832
                     34,                0.37689,                0.50753,                0.36284,                0.91742,                0.97099,                0.97342,                0.98699,                0.95747,                0.97099,                0.97342,                0.98677,                 0.9438,                0.26404,                0.42537,                0.29335,                0.79359,               0.006733,               0.006733,               0.006733
                     35,                0.38611,                 0.4975,                0.37115,                0.92197,                0.97322,                0.97642,                0.98787,                0.96486,                0.97322,                0.97642,                0.98787,                0.95149,                0.24315,                0.42522,                0.25418,                0.78192,               0.006634,               0.006634,               0.006634
                     36,                0.37185,                0.49707,                0.36297,                0.93073,                0.97182,                0.96553,                  0.986,                0.96175,                0.97182,                0.96553,                  0.986,                0.95138,                0.24923,                0.41111,                0.25846,                0.79381,               0.006535,               0.006535,               0.006535
                     37,                0.36664,                 0.4704,                0.35185,                0.92336,                0.97628,                0.96961,                0.98682,                0.96179,                0.97628,                0.96961,                0.98672,                0.95292,                 0.2428,                0.42447,                0.25662,                0.79008,               0.006436,               0.006436,               0.006436
                     38,                0.36505,                0.47018,                 0.3441,                0.91465,                0.97259,                0.95876,                0.98528,                0.96486,                0.97259,                0.95876,                0.98546,                0.95733,                0.25072,                 0.4017,                0.29422,                0.78443,               0.006337,               0.006337,               0.006337
                     39,                0.36492,                0.51214,                0.34797,                0.91057,                0.98512,                  0.963,                0.98527,                0.96451,                0.97521,                0.95374,                0.97535,                0.93663,                0.23536,                0.47499,                0.24134,                0.77829,               0.006238,               0.006238,               0.006238
                     40,                0.35177,                0.49232,                 0.3437,                0.91431,                 0.9814,                0.97414,                0.98871,                0.96814,                 0.9814,                0.97414,                0.98666,                0.95647,                0.22808,                0.38756,                0.22261,                0.77721,               0.006139,               0.006139,               0.006139
                     41,                0.35449,                0.45368,                0.33815,                 0.9078,                0.97205,                0.97783,                0.98767,                0.96629,                0.97205,                0.97783,                0.98767,                0.95702,                0.23633,                0.38401,                 0.2418,                0.76997,                0.00604,                0.00604,                0.00604
                     42,                0.34756,                0.44427,                0.33092,                0.90359,                0.98142,                0.97216,                0.98794,                0.95948,                 0.9802,                0.97393,                0.98834,                0.95478,                0.25092,                0.38872,                0.26336,                0.78631,               0.005941,               0.005941,               0.005941
                     43,                0.35457,                0.46635,                0.33218,                0.91089,                0.97416,                0.97508,                0.98746,                 0.9672,                0.97416,                0.97508,                0.98746,                0.95428,                0.23685,                0.42065,                0.25192,                0.77145,               0.005842,               0.005842,               0.005842
                     44,                0.34326,                0.43904,                0.32874,                0.89869,                0.97191,                0.97346,                0.98664,                0.96259,                0.97435,                0.97885,                0.98669,                0.95378,                 0.2338,                 0.3964,                0.24184,                0.77075,               0.005743,               0.005743,               0.005743
                     45,                0.35367,                0.45284,                 0.3248,                0.90993,                0.98673,                0.97786,                0.98865,                  0.965,                0.98673,                0.97786,                0.98784,                0.95688,                0.22397,                0.40111,                0.23364,                0.76753,               0.005644,               0.005644,               0.005644
                     46,                0.34027,                0.45028,                0.31834,                0.90386,                 0.9777,                0.97829,                0.98585,                0.96193,                 0.9777,                0.97829,                0.98585,                0.95312,                0.23193,                0.41981,                 0.2349,                0.77616,               0.005545,               0.005545,               0.005545
                     47,                0.34109,                 0.4441,                0.31653,                0.90103,                0.97401,                0.97838,                0.98564,                0.96329,                0.97401,                0.97838,                0.98564,                 0.9529,                0.23727,                0.38582,                0.23443,                0.78795,               0.005446,               0.005446,               0.005446
                     48,                0.33629,                0.42134,                 0.3015,                0.90924,                0.97149,                0.97367,                0.98661,                0.96864,                0.97149,                0.97367,                0.98661,                 0.9574,                0.20919,                0.39897,                0.22876,                0.76259,               0.005347,               0.005347,               0.005347
                     49,                0.32849,                0.44754,                 0.2968,                0.90899,                0.98131,                0.97238,                0.98562,                0.96478,                0.98131,                0.97238,                0.98539,                0.95477,                0.22553,                0.39185,                0.24242,                0.77192,               0.005248,               0.005248,               0.005248
                     50,                0.33372,                0.41005,                0.30121,                0.90626,                0.98697,                0.97186,                0.98621,                0.96706,                0.98697,                0.97186,                0.98621,                0.95891,                0.22135,                0.38046,                0.23941,                0.76902,               0.005149,               0.005149,               0.005149
                     51,                0.33034,                0.46872,                0.30733,                0.90184,                0.98671,                0.96289,                  0.986,                 0.9669,                0.98671,                0.96289,                0.98599,                0.95632,                0.21743,                0.39344,                0.22954,                0.76474,                0.00505,                0.00505,                0.00505
                     52,                0.31973,                0.41424,                0.29064,                0.89732,                0.98646,                0.98187,                0.98968,                0.96871,                0.98646,                0.98187,                0.98968,                0.96249,                0.21862,                0.36366,                0.21603,                0.77316,               0.004951,               0.004951,               0.004951
                     53,                0.33151,                 0.4224,                 0.3122,                0.90495,                0.98475,                0.97445,                 0.9843,                0.96502,                0.98475,                0.97445,                 0.9843,                0.95675,                0.21305,                0.37945,                0.24065,                0.76159,               0.004852,               0.004852,               0.004852
                     54,                0.32376,                0.42299,                0.30042,                0.89508,                0.99119,                0.97789,                0.98585,                0.96677,                0.99119,                0.97789,                0.98585,                0.95483,                0.21575,                0.36624,                0.22712,                0.76778,               0.004753,               0.004753,               0.004753
                     55,                0.33377,                0.42394,                0.30432,                0.89848,                0.98896,                 0.9781,                0.98357,                0.96588,                0.98896,                 0.9781,                0.98357,                0.95777,                0.20355,                0.35336,                0.21667,                  0.757,               0.004654,               0.004654,               0.004654
                     56,                0.30298,                0.41985,                 0.2806,                 0.8889,                0.97709,                0.97935,                0.98599,                0.96913,                0.97709,                0.97935,                0.98599,                0.95893,                0.20844,                0.37394,                0.22041,                0.76039,               0.004555,               0.004555,               0.004555
                     57,                0.31331,                0.40648,                0.27751,                0.89647,                0.98473,                0.96915,                0.98775,                0.96852,                0.98473,                0.96915,                0.98775,                0.96117,                0.20964,                0.37629,                0.21835,                0.76529,               0.004456,               0.004456,               0.004456
                     58,                0.30017,                0.39257,                0.27284,                0.89024,                0.98216,                0.98188,                0.98699,                0.97081,                0.98216,                0.98188,                0.98699,                0.95526,                0.20056,                0.37539,                0.21147,                0.75353,               0.004357,               0.004357,               0.004357
