                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.61567,                0.44425,                 1.0316,                0.95757,                0.93793,                0.98709,                0.88559,                0.52545,                0.32705,                 0.9076,              8.416e-05,              8.416e-05,              8.416e-05
                     34,                0.60809,                 0.4561,                 1.0355,                0.94516,                0.95254,                0.98687,                0.88292,                0.52718,                0.33435,                0.90915,             8.3665e-05,             8.3665e-05,             8.3665e-05
                     35,                0.60258,                0.43094,                 1.0382,                0.96162,                0.97032,                0.98812,                0.88698,                0.52337,                0.31388,                0.90766,              8.317e-05,              8.317e-05,              8.317e-05
                     36,                0.60347,                0.43636,                 1.0286,                0.91182,                0.96604,                 0.9858,                0.88221,                0.52808,                0.34789,                0.91303,             8.2675e-05,             8.2675e-05,             8.2675e-05
                     37,                 0.5991,                0.42097,                 1.0286,                0.95828,                 0.9686,                0.99018,                 0.8914,                0.52544,                0.31667,                0.91107,              8.218e-05,              8.218e-05,              8.218e-05
                     38,                0.59318,                0.42279,                 1.0308,                0.96558,                0.95152,                0.98999,                0.89077,                0.52185,                0.31222,                0.90912,             8.1685e-05,             8.1685e-05,             8.1685e-05
                     39,                0.58737,                0.42703,                 1.0311,                0.96705,                0.95915,                0.99138,                0.89365,                0.52394,                0.30832,                0.90725,              8.119e-05,              8.119e-05,              8.119e-05
                     40,                0.58531,                0.41263,                 1.0293,                0.94028,                0.97154,                0.98997,                0.88795,                0.52968,                0.31226,                0.91051,             8.0695e-05,             8.0695e-05,             8.0695e-05
                     41,                0.60937,                0.43624,                 1.0304,                0.95279,                0.97784,                0.99053,                0.88951,                0.52862,                0.30159,                0.91162,               8.02e-05,               8.02e-05,               8.02e-05
                     42,                0.60694,                0.43053,                 1.0439,                0.95999,                0.97246,                0.99073,                0.89098,                 0.5271,                0.29808,                 0.9108,             7.9705e-05,             7.9705e-05,             7.9705e-05
                     43,                0.59456,                0.42871,                 1.0273,                0.95007,                0.95243,                0.98834,                 0.8878,                0.52984,                 0.3094,                0.91241,              7.921e-05,              7.921e-05,              7.921e-05
                     44,                0.60221,                0.41479,                 1.0345,                0.96421,                0.95754,                 0.9906,                0.88842,                0.52939,                0.30518,                0.91147,             7.8715e-05,             7.8715e-05,             7.8715e-05
                     45,                0.59906,                0.41775,                 1.0266,                0.96464,                 0.9612,                0.99015,                0.88899,                 0.5312,                0.30509,                0.91385,              7.822e-05,              7.822e-05,              7.822e-05
                     46,                0.61067,                0.40093,                 1.0313,                 0.9652,                0.93776,                0.98915,                0.88619,                0.53107,                0.31149,                0.90983,             7.7725e-05,             7.7725e-05,             7.7725e-05
                     47,                0.59674,                0.41671,                 1.0202,                0.95231,                0.96587,                 0.9892,                0.88526,                 0.5342,                0.30844,                0.91092,              7.723e-05,              7.723e-05,              7.723e-05
                     48,                0.59782,                0.40739,                 1.0279,                0.95593,                0.93579,                0.98734,                0.88206,                0.52965,                0.32123,                0.91049,             7.6735e-05,             7.6735e-05,             7.6735e-05
                     49,                0.60002,                0.40232,                 1.0264,                0.96909,                0.94578,                0.98805,                0.88157,                0.53076,                0.31131,                 0.9116,              7.624e-05,              7.624e-05,              7.624e-05
                     50,                0.58279,                0.40338,                 1.0255,                0.95784,                0.96587,                0.98906,                0.88644,                0.52591,                0.29849,                0.91025,             7.5745e-05,             7.5745e-05,             7.5745e-05
                     51,                0.58978,                0.38112,                 1.0271,                0.95291,                0.97714,                0.98989,                0.88905,                0.52475,                0.29595,                0.90956,              7.525e-05,              7.525e-05,              7.525e-05
